index,object_class,object_name,occlusion,ambiguous,overlaps
630,Fanta,Fanta.004,not given,0,0
631,CokeZero,CokeZero.004,not given,0,0
632,Jever,Jever.002,not given,0,1
633,RedBullZero,RedBullZero.006,not given,0,1
634,Fanta,Fanta.004,not given,0,0
635,CokeZero,CokeZero.004,not given,0,0
636,Jever,Jever.002,not given,0,1
637,RedBullZero,RedBullZero.006,not given,0,1
638,Fanta,Fanta.004,not given,0,0
639,CokeZero,CokeZero.004,not given,0,0
640,RedBullZero,RedBullZero.006,not given,0,1
641,Fanta,Fanta.004,not given,0,0
642,CokeZero,CokeZero.004,not given,0,0
643,RedBullZero,RedBullZero.006,not given,0,1
644,Fanta,Fanta.004,not given,0,0
645,CokeZero,CokeZero.004,not given,0,1
646,RedBullZero,RedBullZero.006,not given,0,1
647,Fanta,Fanta.004,not given,0,0
648,CokeZero,CokeZero.004,not given,0,1
649,RedBullZero,RedBullZero.006,not given,0,1
650,Fanta,Fanta.004,not given,0,0
651,CokeZero,CokeZero.004,not given,0,1
652,Coke,Coke.004,not given,0,0
653,RedBullZero,RedBullZero.006,not given,0,1
654,Fanta,Fanta.004,not given,0,1
655,CokeZero,CokeZero.004,not given,0,1
656,Coke,Coke.004,not given,0,0
657,RedBullZero,RedBullZero.006,not given,0,1
658,Fanta,Fanta.004,not given,0,1
659,CokeZero,CokeZero.004,not given,0,1
660,Coke,Coke.004,not given,0,0
661,RedBullZero,RedBullZero.006,not given,0,1
662,Fanta,Fanta.004,not given,0,1
663,CokeZero,CokeZero.004,not given,0,1
664,Coke,Coke.004,not given,0,0
665,RedBullZero,RedBullZero.006,not given,0,1
666,Fanta,Fanta.004,not given,0,1
667,CokeZero,CokeZero.004,not given,0,1
668,Coke,Coke.004,not given,0,0
669,Fanta,Fanta.004,not given,0,1
670,CokeZero,CokeZero.004,not given,0,1
671,Coke,Coke.004,not given,0,0
672,Fanta,Fanta.004,not given,0,1
673,CokeZero,CokeZero.004,not given,0,0
674,Coke,Coke.004,not given,0,0
675,Fanta,Fanta.004,not given,0,1
676,CokeZero,CokeZero.004,not given,0,0
677,Coke,Coke.004,not given,0,0
678,Fanta,Fanta.004,not given,0,1
679,CokeZero,CokeZero.004,not given,0,0
680,Coke,Coke.004,not given,0,0
681,Fanta,Fanta.004,not given,0,0
682,CokeZero,CokeZero.004,not given,0,0
683,Coke,Coke.004,not given,0,1
684,Fanta,Fanta.004,not given,0,0
685,CokeZero,CokeZero.004,not given,0,0
686,Coke,Coke.004,not given,0,1
687,Fanta,Fanta.004,not given,0,0
688,CokeZero,CokeZero.004,not given,0,1
689,Coke,Coke.004,not given,0,1
690,Fanta,Fanta.004,not given,0,0
691,CokeZero,CokeZero.004,not given,0,1
692,Coke,Coke.004,not given,0,1
693,Fanta,Fanta.004,not given,0,0
694,CokeZero,CokeZero.004,not given,0,1
695,Coke,Coke.004,not given,0,1
696,Fanta,Fanta.004,not given,0,0
697,CokeZero,CokeZero.004,not given,0,1
698,Coke,Coke.004,not given,0,1
699,Fanta,Fanta.004,not given,0,0
700,CokeZero,CokeZero.004,not given,0,1
701,Coke,Coke.004,not given,0,1
702,Fanta,Fanta.004,not given,0,1
703,CokeZero,CokeZero.004,not given,0,1
704,Coke,Coke.004,not given,0,1
705,Fanta,Fanta.004,not given,0,1
706,CokeZero,CokeZero.004,not given,0,1
707,Coke,Coke.004,not given,0,1
708,Fanta,Fanta.004,not given,0,1
709,CokeZero,CokeZero.004,not given,0,1
710,Coke,Coke.004,not given,0,0
711,Fanta,Fanta.004,not given,0,1
712,CokeZero,CokeZero.004,not given,0,0
713,Coke,Coke.004,not given,0,0
714,Fanta,Fanta.004,not given,0,1
715,WaterBottle,WaterBottle.003,not given,0,0
716,CokeZero,CokeZero.004,not given,0,0
717,Coke,Coke.004,not given,0,0
718,Fanta,Fanta.004,not given,0,1
719,WaterBottle,WaterBottle.003,not given,0,0
720,CokeZero,CokeZero.004,not given,0,0
721,Coke,Coke.004,not given,0,0
722,WaterBottle,WaterBottle.003,not given,0,0
723,CokeZero,CokeZero.004,not given,0,1
724,Coke,Coke.004,not given,0,0
725,WaterBottle,WaterBottle.003,not given,0,0
726,CokeZero,CokeZero.004,not given,0,1
727,Coke,Coke.004,not given,0,0
728,WaterBottle,WaterBottle.003,not given,0,1
729,CokeZero,CokeZero.004,not given,0,1
730,Coke,Coke.004,not given,0,1
731,WaterBottle,WaterBottle.003,not given,0,1
732,CokeZero,CokeZero.004,not given,0,1
733,Coke,Coke.004,not given,0,1
734,WaterBottle,WaterBottle.003,not given,0,1
735,CokeZero,CokeZero.004,not given,0,1
736,Coke,Coke.004,not given,0,1
737,WaterBottle,WaterBottle.003,not given,0,1
738,CokeZero,CokeZero.004,not given,0,1
739,Coke,Coke.004,not given,0,1
740,WaterBottle,WaterBottle.003,not given,0,1
741,CokeZero,CokeZero.004,not given,0,1
742,Coke,Coke.004,not given,0,1
743,WaterBottle,WaterBottle.003,not given,0,1
744,CokeZero,CokeZero.004,not given,0,1
745,Coke,Coke.004,not given,0,1
746,WaterBottle,WaterBottle.003,not given,0,1
747,CokeZero,CokeZero.004,not given,0,0
748,Coke,Coke.004,not given,0,1
749,WaterBottle,WaterBottle.003,not given,0,1
750,Coke,Coke.004,not given,0,1
751,WaterBottle,WaterBottle.003,not given,0,1
752,Coke,Coke.004,not given,0,0
753,WaterBottle,WaterBottle.003,not given,0,1
754,Coke,Coke.004,not given,0,0
755,Krombacher,Krombacher.002,not given,0,1
756,WaterBottle,WaterBottle.003,not given,0,1
757,Coke,Coke.004,not given,0,0
758,Krombacher,Krombacher.002,not given,0,1
759,WaterBottle,WaterBottle.003,not given,0,0
760,Coke,Coke.004,not given,0,0
761,Krombacher,Krombacher.002,not given,0,1
762,WaterBottle,WaterBottle.003,not given,0,0
763,Coke,Coke.004,not given,0,0
764,Krombacher,Krombacher.002,not given,0,2
765,WaterBottle,WaterBottle.003,not given,0,0
766,Coke,Coke.004,not given,0,0
767,Krombacher,Krombacher.002,not given,0,2
768,WaterBottle,WaterBottle.003,not given,0,0
769,Coke,Coke.004,not given,0,0
770,RedBull,RedBull.006,not given,0,1
771,Krombacher,Krombacher.002,not given,0,2
772,WaterBottle,WaterBottle.003,not given,0,0
773,Coke,Coke.004,not given,0,1
774,RedBull,RedBull.006,not given,0,1
775,Krombacher,Krombacher.002,not given,0,2
776,RedBullZero,RedBullZero.005,not given,0,0
777,WaterBottle,WaterBottle.003,not given,0,0
778,Coke,Coke.004,not given,0,1
779,RedBull,RedBull.006,not given,0,0
780,Krombacher,Krombacher.002,not given,0,2
781,RedBullZero,RedBullZero.005,not given,0,0
782,WaterBottle,WaterBottle.003,not given,0,0
783,Coke,Coke.004,not given,0,1
784,RedBull,RedBull.006,not given,0,0
785,Krombacher,Krombacher.002,not given,0,1
786,RedBullZero,RedBullZero.005,not given,0,0
787,WaterBottle,WaterBottle.003,not given,0,0
788,Coke,Coke.004,not given,0,1
789,RedBull,RedBull.006,not given,0,1
790,Krombacher,Krombacher.002,not given,0,1
791,RedBullZero,RedBullZero.005,not given,0,0
792,WaterBottle,WaterBottle.003,not given,0,0
793,Coke,Coke.004,not given,0,1
794,RedBull,RedBull.006,not given,0,1
795,Krombacher,Krombacher.002,not given,0,1
796,Jever,Jever,not given,0,1
797,RedBullZero,RedBullZero.005,not given,0,0
798,WaterBottle,WaterBottle.003,not given,0,0
799,Coke,Coke.004,not given,0,1
800,RedBull,RedBull.006,not given,0,1
801,Krombacher,Krombacher.002,not given,0,0
802,Jever,Jever,not given,0,1
803,RedBullZero,RedBullZero.005,not given,0,0
804,WaterBottle,WaterBottle.003,not given,0,0
805,Coke,Coke.004,not given,0,1
806,RedBull,RedBull.006,not given,0,1
807,Krombacher,Krombacher.002,not given,0,0
808,Jever,Jever,not given,0,2
809,RedBullZero,RedBullZero.005,not given,0,1
810,WaterBottle,WaterBottle.003,not given,0,0
811,RedBull,RedBull.006,not given,0,1
812,MakoEnergy,MakoEnergy.004,not given,0,1
813,Krombacher,Krombacher.002,not given,0,0
814,RedBullZero,RedBullZero.005,not given,0,1
815,WaterBottle,WaterBottle.003,not given,0,0
816,RedBull,RedBull.006,not given,0,2
817,MakoEnergy,MakoEnergy.004,not given,0,1
818,Krombacher,Krombacher.002,not given,0,0
819,RedBullZero,RedBullZero.005,not given,0,1
820,WaterBottle,WaterBottle.003,not given,0,0
821,RedBull,RedBull.006,not given,0,2
822,MakoEnergy,MakoEnergy.004,not given,0,1
823,Krombacher,Krombacher.002,not given,0,1
824,RedBullZero,RedBullZero.005,not given,0,1
825,WaterBottle,WaterBottle.003,not given,0,0
826,RedBull,RedBull.006,not given,0,2
827,MakoEnergy,MakoEnergy.004,not given,0,1
828,Krombacher,Krombacher.002,not given,0,1
829,RedBullZero,RedBullZero.005,not given,0,2
830,WaterBottle,WaterBottle.003,not given,0,0
831,RedBull,RedBull.006,not given,0,2
832,MakoEnergy,MakoEnergy.004,not given,0,2
833,Krombacher,Krombacher.002,not given,0,1
834,RedBullZero,RedBullZero.005,not given,0,2
835,WaterBottle,WaterBottle.003,not given,0,0
836,RedBull,RedBull.006,not given,0,2
837,MakoEnergy,MakoEnergy.004,not given,0,2
838,Krombacher,Krombacher.002,not given,0,1
839,RedBullZero,RedBullZero.005,not given,0,2
840,WaterBottle,WaterBottle.003,not given,0,0
841,RedBull,RedBull.006,not given,0,2
842,MakoEnergy,MakoEnergy.004,not given,0,2
843,Krombacher,Krombacher.002,not given,0,1
844,RedBullZero,RedBullZero.005,not given,0,2
845,WaterBottle,WaterBottle.003,not given,0,0
846,RedBull,RedBull.006,not given,0,2
847,MakoEnergy,MakoEnergy.004,not given,0,2
848,Krombacher,Krombacher.002,not given,0,1
849,WaterBottle,WaterBottle.003,not given,0,0
850,RedBull,RedBull.006,not given,0,2
851,MakoEnergy,MakoEnergy.004,not given,0,2
852,Krombacher,Krombacher.002,not given,0,0
853,WaterBottle,WaterBottle.003,not given,0,0
854,RedBull,RedBull.006,not given,0,2
855,MakoEnergy,MakoEnergy.004,not given,0,2
856,Krombacher,Krombacher.002,not given,0,0
857,WaterBottle,WaterBottle.003,not given,0,0
858,RedBull,RedBull.006,not given,0,0
859,MakoEnergy,MakoEnergy.004,not given,0,2
860,Krombacher,Krombacher.002,not given,0,0
861,WaterBottle,WaterBottle.003,not given,0,0
862,RedBull,RedBull.006,not given,0,0
863,MakoEnergy,MakoEnergy.004,not given,0,2
864,Krombacher,Krombacher.002,not given,0,0
865,WaterBottle,WaterBottle.003,not given,0,1
866,RedBull,RedBull.006,not given,0,0
867,MakoEnergy,MakoEnergy.004,not given,0,2
868,Krombacher,Krombacher.002,not given,0,0
869,Jever,Jever,not given,0,2
870,WaterBottle,WaterBottle.003,not given,0,1
871,RedBull,RedBull.006,not given,0,0
872,MakoEnergy,MakoEnergy.004,not given,0,2
873,Krombacher,Krombacher.002,not given,0,0
874,Jever,Jever,not given,0,2
875,WaterBottle,WaterBottle.003,not given,0,1
876,RedBull,RedBull.006,not given,0,0
877,MakoEnergy,MakoEnergy.004,not given,0,2
878,Krombacher,Krombacher.002,not given,0,0
879,Jever,Jever,not given,0,2
880,WaterBottle,WaterBottle.003,not given,0,1
881,RedBull,RedBull.006,not given,0,1
882,MakoEnergy,MakoEnergy.004,not given,0,3
883,Krombacher,Krombacher.002,not given,0,0
884,Jever,Jever,not given,0,2
885,WaterBottle,WaterBottle.003,not given,0,1
886,RedBull,RedBull.006,not given,0,1
887,MakoEnergy,MakoEnergy.004,not given,0,4
888,Krombacher,Krombacher.002,not given,0,0
889,Jever,Jever,not given,0,2
890,WaterBottle,WaterBottle.003,not given,0,1
891,RedBull,RedBull.006,not given,0,1
892,MakoEnergy,MakoEnergy.004,not given,0,4
893,Krombacher,Krombacher.002,not given,0,0
894,Jever,Jever,not given,0,2
895,WaterBottle,WaterBottle.003,not given,0,1
896,RedBull,RedBull.006,not given,0,1
897,MakoEnergy,MakoEnergy.004,not given,0,4
898,Krombacher,Krombacher.002,not given,0,0
899,Jever,Jever,not given,0,1
900,WaterBottle,WaterBottle.003,not given,0,1
901,RedBull,RedBull.006,not given,0,1
902,MakoEnergy,MakoEnergy.004,not given,0,2
903,Krombacher,Krombacher.002,not given,0,0
904,Jever,Jever,not given,0,2
905,WaterBottle,WaterBottle.003,not given,0,1
906,RedBull,RedBull.006,not given,0,1
907,MakoEnergy,MakoEnergy.004,not given,0,2
908,Krombacher,Krombacher.002,not given,0,0
909,Jever,Jever,not given,0,2
910,WaterBottle,WaterBottle.003,not given,0,1
911,RedBull,RedBull.006,not given,0,1
912,MakoEnergy,MakoEnergy.004,not given,0,2
913,Krombacher,Krombacher.002,not given,0,0
914,Jever,Jever,not given,0,2
915,WaterBottle,WaterBottle.003,not given,0,1
916,RedBull,RedBull.006,not given,0,1
917,MakoEnergy,MakoEnergy.004,not given,0,1
918,Krombacher,Krombacher.002,not given,0,0
919,Jever,Jever,not given,0,2
920,WaterBottle,WaterBottle.003,not given,0,1
921,RedBull,RedBull.006,not given,0,0
922,MakoEnergy,MakoEnergy.004,not given,0,1
923,Krombacher,Krombacher.002,not given,0,0
924,CokeZero,CokeZero.003,not given,0,5
925,Coke,Coke,not given,0,6
926,Fanta,Fanta,not given,0,2
927,CokeZero,CokeZero.003,not given,0,6
928,Coke,Coke,not given,0,5
929,Fanta,Fanta,not given,0,2
930,CokeZero,CokeZero.003,not given,0,8
931,Coke,Coke,not given,0,5
932,Fanta,Fanta,not given,0,4
933,CokeZero,CokeZero.003,not given,0,9
934,Coke,Coke,not given,0,5
935,Fanta,Fanta,not given,0,4
936,CokeZero,CokeZero.003,not given,0,8
937,Coke,Coke,not given,0,2
938,Fanta,Fanta,not given,0,4
939,CokeZero,CokeZero.003,not given,0,7
940,Coke,Coke,not given,0,2
941,Fanta,Fanta,not given,0,3
942,CokeZero,CokeZero.003,not given,0,5
943,Coke,Coke,not given,0,2
944,Fanta,Fanta,not given,0,3
945,CokeZero,CokeZero.003,not given,0,4
946,Coke,Coke,not given,0,2
947,Fanta,Fanta,not given,0,3
948,CokeZero,CokeZero.003,not given,0,3
949,Coke,Coke,not given,0,1
950,Fanta,Fanta,not given,0,3
951,CokeZero,CokeZero.003,not given,0,2
952,Coke,Coke,not given,0,1
953,Fanta,Fanta,not given,0,2
954,CokeZero,CokeZero.003,not given,0,2
955,Coke,Coke,not given,0,1
956,Fanta,Fanta,not given,0,1
957,CokeZero,CokeZero.003,not given,0,1
958,Fanta,Fanta,not given,0,1
959,CokeZero,CokeZero.003,not given,0,1
960,Fanta,Fanta,not given,0,1
961,CokeZero,CokeZero.003,not given,0,1
962,Fanta,Fanta,not given,0,1
963,CokeZero,CokeZero.003,not given,0,1
964,RedBullZero,RedBullZero.005,not given,0,3
965,Fanta,Fanta,not given,0,1
966,CokeZero,CokeZero.003,not given,0,1
967,RedBullZero,RedBullZero.005,not given,0,3
968,Fanta,Fanta,not given,0,1
969,CokeZero,CokeZero.003,not given,0,1
970,RedBullZero,RedBullZero.005,not given,0,3
971,Fanta,Fanta,not given,0,1
972,CokeZero,CokeZero.003,not given,0,1
973,Coke,Coke,not given,0,1
974,RedBullZero,RedBullZero.005,not given,0,3
975,Fanta,Fanta,not given,0,1
976,CokeZero,CokeZero.003,not given,0,1
977,Coke,Coke,not given,0,1
978,RedBullZero,RedBullZero.005,not given,0,3
979,Fanta,Fanta,not given,0,0
980,CokeZero,CokeZero.003,not given,0,1
981,Coke,Coke,not given,0,1
982,RedBullZero,RedBullZero.005,not given,0,3
983,Fanta,Fanta,not given,0,0
984,CokeZero,CokeZero.003,not given,0,1
985,Coke,Coke,not given,0,1
986,RedBullZero,RedBullZero.005,not given,0,3
987,Fanta,Fanta,not given,0,0
988,WaterBottle,WaterBottle.003,not given,0,2
989,CokeZero,CokeZero.003,not given,0,1
990,Coke,Coke,not given,0,1
991,RedBullZero,RedBullZero.005,not given,0,2
992,Fanta,Fanta,not given,0,0
993,WaterBottle,WaterBottle.003,not given,0,2
994,CokeZero,CokeZero.003,not given,0,1
995,Coke,Coke,not given,0,1
996,RedBullZero,RedBullZero.005,not given,0,2
997,Fanta,Fanta,not given,0,0
998,WaterBottle,WaterBottle.003,not given,0,2
999,CokeZero,CokeZero.003,not given,0,1
1000,Coke,Coke,not given,0,1
1001,RedBullZero,RedBullZero.005,not given,0,3
1002,Fanta,Fanta,not given,0,0
1003,WaterBottle,WaterBottle.003,not given,0,2
1004,CokeZero,CokeZero.003,not given,0,1
1005,Coke,Coke,not given,0,1
1006,Jever,Jever,not given,0,1
1007,RedBullZero,RedBullZero.005,not given,0,5
1008,Fanta,Fanta,not given,0,0
1009,WaterBottle,WaterBottle.003,not given,0,2
1010,Coke,Coke,not given,0,1
1011,Jever,Jever,not given,0,1
1012,RedBullZero,RedBullZero.005,not given,0,4
1013,Fanta,Fanta,not given,0,1
1014,WaterBottle,WaterBottle.003,not given,0,2
1015,Coke,Coke,not given,0,1
1016,Jever,Jever,not given,0,0
1017,RedBullZero,RedBullZero.005,not given,0,4
1018,Fanta,Fanta,not given,0,1
1019,WaterBottle,WaterBottle.003,not given,0,2
1020,RedBull,RedBull.006,not given,0,1
1021,Coke,Coke,not given,0,1
1022,Jever,Jever,not given,0,0
1023,RedBullZero,RedBullZero.005,not given,0,4
1024,Fanta,Fanta,not given,0,1
1025,WaterBottle,WaterBottle.003,not given,0,2
1026,RedBull,RedBull.006,not given,0,0
1027,Jever,Jever,not given,0,0
1028,RedBullZero,RedBullZero.005,not given,0,3
1029,Fanta,Fanta,not given,0,2
1030,WaterBottle,WaterBottle.003,not given,0,2
1031,RedBull,RedBull.006,not given,0,0
1032,Jever,Jever,not given,0,0
1033,RedBullZero,RedBullZero.005,not given,0,1
1034,Fanta,Fanta,not given,0,3
1035,WaterBottle,WaterBottle.003,not given,0,3
1036,RedBull,RedBull.006,not given,0,0
1037,Krombacher,Krombacher.002,not given,0,0
1038,Jever,Jever,not given,0,0
1039,RedBullZero,RedBullZero.005,not given,0,1
1040,Fanta,Fanta,not given,0,2
1041,WaterBottle,WaterBottle.003,not given,0,3
1042,RedBull,RedBull.006,not given,0,0
1043,Krombacher,Krombacher.002,not given,0,0
1044,Jever,Jever,not given,0,1
1045,RedBullZero,RedBullZero.005,not given,0,1
1046,Fanta,Fanta,not given,0,3
1047,WaterBottle,WaterBottle.003,not given,0,3
1048,RedBull,RedBull.006,not given,0,0
1049,Krombacher,Krombacher.002,not given,0,0
1050,Jever,Jever,not given,0,2
1051,RedBullZero,RedBullZero.005,not given,0,1
1052,Fanta,Fanta,not given,0,4
1053,WaterBottle,WaterBottle.003,not given,0,3
1054,RedBull,RedBull.006,not given,0,0
1055,Krombacher,Krombacher.002,not given,0,0
1056,Jever,Jever,not given,0,2
1057,RedBullZero,RedBullZero.005,not given,0,1
1058,Fanta,Fanta,not given,0,4
1059,WaterBottle,WaterBottle.003,not given,0,3
1060,RedBull,RedBull.006,not given,0,0
1061,MakoEnergy,MakoEnergy.004,not given,0,0
1062,Krombacher,Krombacher.002,not given,0,0
1063,Jever,Jever,not given,0,3
1064,RedBullZero,RedBullZero.005,not given,0,1
1065,Fanta,Fanta,not given,0,3
1066,WaterBottle,WaterBottle.003,not given,0,5
1067,RedBull,RedBull.006,not given,0,0
1068,MakoEnergy,MakoEnergy.004,not given,0,0
1069,Krombacher,Krombacher.002,not given,0,0
1070,Jever,Jever,not given,0,4
1071,RedBullZero,RedBullZero.005,not given,0,1
1072,Fanta,Fanta,not given,0,4
1073,WaterBottle,WaterBottle.003,not given,0,5
1074,RedBull,RedBull.006,not given,0,0
1075,MakoEnergy,MakoEnergy.004,not given,0,0
1076,Krombacher,Krombacher.002,not given,0,0
1077,Jever,Jever,not given,0,4
1078,RedBullZero,RedBullZero.005,not given,0,0
1079,Fanta,Fanta,not given,0,4
1080,WaterBottle,WaterBottle.003,not given,0,6
1081,RedBull,RedBull.006,not given,0,0
1082,MakoEnergy,MakoEnergy.004,not given,0,1
1083,Krombacher,Krombacher.002,not given,0,1
1084,Jever,Jever,not given,0,5
1085,RedBullZero,RedBullZero.005,not given,0,0
1086,Fanta,Fanta,not given,0,4
1087,RedBull,RedBull.006,not given,0,0
1088,MakoEnergy,MakoEnergy.004,not given,0,1
1089,Krombacher,Krombacher.002,not given,0,1
1090,Jever,Jever,not given,0,6
1091,RedBullZero,RedBullZero.005,not given,0,0
1092,Fanta,Fanta,not given,0,2
1093,RedBull,RedBull.006,not given,0,0
1094,MakoEnergy,MakoEnergy.004,not given,0,1
1095,Krombacher,Krombacher.002,not given,0,1
1096,Jever,Jever,not given,0,7
1097,RedBullZero,RedBullZero.005,not given,0,0
1098,Fanta,Fanta,not given,0,2
1099,RedBull,RedBull.006,not given,0,0
1100,MakoEnergy,MakoEnergy.004,not given,0,1
1101,Krombacher,Krombacher.002,not given,0,1
1102,Jever,Jever,not given,0,5
1103,RedBullZero,RedBullZero.005,not given,0,0
1104,Fanta,Fanta,not given,0,2
1105,RedBull,RedBull.006,not given,0,0
1106,MakoEnergy,MakoEnergy.004,not given,0,1
1107,Krombacher,Krombacher.002,not given,0,1
1108,Jever,Jever,not given,0,5
1109,RedBullZero,RedBullZero.005,not given,0,0
1110,Fanta,Fanta,not given,0,2
1111,RedBull,RedBull.006,not given,0,1
1112,MakoEnergy,MakoEnergy.004,not given,0,1
1113,Krombacher,Krombacher.002,not given,0,1
1114,Jever,Jever,not given,0,4
1115,RedBullZero,RedBullZero.005,not given,0,1
1116,Fanta,Fanta,not given,0,1
1117,RedBull,RedBull.006,not given,0,1
1118,MakoEnergy,MakoEnergy.004,not given,0,1
1119,Krombacher,Krombacher.002,not given,0,1
1120,Jever,Jever,not given,0,3
1121,RedBullZero,RedBullZero.005,not given,0,1
1122,Fanta,Fanta,not given,0,0
1123,WaterBottle,WaterBottle.003,not given,0,4
1124,RedBull,RedBull.006,not given,0,2
1125,MakoEnergy,MakoEnergy.004,not given,0,1
1126,Jever,Jever,not given,0,2
1127,RedBullZero,RedBullZero.005,not given,0,1
1128,Fanta,Fanta,not given,0,1
1129,WaterBottle,WaterBottle.003,not given,0,4
1130,RedBull,RedBull.006,not given,0,3
1131,MakoEnergy,MakoEnergy.004,not given,0,1
1132,Jever,Jever,not given,0,2
1133,RedBullZero,RedBullZero.005,not given,0,1
1134,Fanta,Fanta,not given,0,1
1135,WaterBottle,WaterBottle.003,not given,0,3
1136,RedBull,RedBull.006,not given,0,4
1137,MakoEnergy,MakoEnergy.004,not given,0,1
1138,Jever,Jever,not given,0,1
1139,RedBullZero,RedBullZero.005,not given,0,2
1140,WaterBottle,WaterBottle.003,not given,0,2
1141,RedBull,RedBull.006,not given,0,5
1142,MakoEnergy,MakoEnergy.004,not given,0,1
1143,Jever,Jever,not given,0,1
1144,RedBullZero,RedBullZero.005,not given,0,2
1145,WaterBottle,WaterBottle.003,not given,0,1
1146,RedBull,RedBull.006,not given,0,5
1147,MakoEnergy,MakoEnergy.004,not given,0,1
1148,Jever,Jever,not given,0,1
1149,RedBullZero,RedBullZero.005,not given,0,2
1150,WaterBottle,WaterBottle.003,not given,0,1
1151,RedBull,RedBull.006,not given,0,7
1152,MakoEnergy,MakoEnergy.004,not given,0,1
1153,Jever,Jever,not given,0,1
1154,RedBullZero,RedBullZero.005,not given,0,2
1155,WaterBottle,WaterBottle.003,not given,0,0
1156,RedBull,RedBull.006,not given,0,5
1157,MakoEnergy,MakoEnergy.004,not given,0,1
1158,Jever,Jever,not given,0,0
1159,RedBullZero,RedBullZero.005,not given,0,4
1160,WaterBottle,WaterBottle.003,not given,0,1
1161,RedBull,RedBull.006,not given,0,4
1162,MakoEnergy,MakoEnergy.004,not given,0,1
1163,Jever,Jever,not given,0,0
1164,RedBullZero,RedBullZero.005,not given,0,3
1165,WaterBottle,WaterBottle.003,not given,0,1
1166,RedBull,RedBull.006,not given,0,4
1167,MakoEnergy,MakoEnergy.004,not given,0,2
1168,Jever,Jever,not given,0,0
1169,RedBullZero,RedBullZero.005,not given,0,2
1170,WaterBottle,WaterBottle.003,not given,0,1
1171,RedBull,RedBull.006,not given,0,4
1172,MakoEnergy,MakoEnergy.004,not given,0,3
1173,Jever,Jever,not given,0,0
1174,RedBullZero,RedBullZero.005,not given,0,2
1175,WaterBottle,WaterBottle.003,not given,0,1
1176,RedBull,RedBull.006,not given,0,3
1177,MakoEnergy,MakoEnergy.004,not given,0,5
1178,Jever,Jever,not given,0,0
1179,RedBullZero,RedBullZero.005,not given,0,3
1180,WaterBottle,WaterBottle.003,not given,0,1
1181,RedBull,RedBull.006,not given,0,2
1182,MakoEnergy,MakoEnergy.004,not given,0,5
1183,Krombacher,Krombacher.002,not given,0,3
1184,Jever,Jever,not given,0,0
1185,RedBullZero,RedBullZero.005,not given,0,3
1186,WaterBottle,WaterBottle.003,not given,0,1
1187,RedBull,RedBull.006,not given,0,1
1188,MakoEnergy,MakoEnergy.004,not given,0,7
1189,Krombacher,Krombacher.002,not given,0,5
1190,Jever,Jever,not given,0,1
1191,RedBullZero,RedBullZero.005,not given,0,2
1192,WaterBottle,WaterBottle.003,not given,0,2
1193,RedBull,RedBull.006,not given,0,2
1194,MakoEnergy,MakoEnergy.004,not given,0,8
1195,Krombacher,Krombacher.002,not given,0,5
1196,Jever,Jever.001,not given,0,5
1197,Fanta,Fanta.003,not given,0,0
1198,CokeZero,CokeZero,not given,0,6
1199,Coke,Coke.003,not given,0,1
1200,Jever,Jever.001,not given,0,4
1201,Fanta,Fanta.003,not given,0,0
1202,CokeZero,CokeZero,not given,0,3
1203,Coke,Coke.003,not given,0,2
1204,Jever,Jever.001,not given,0,4
1205,Fanta,Fanta.003,not given,0,2
1206,CokeZero,CokeZero,not given,0,3
1207,Coke,Coke.003,not given,0,1
1208,Jever,Jever.001,not given,0,5
1209,Fanta,Fanta.003,not given,0,3
1210,CokeZero,CokeZero,not given,0,3
1211,Coke,Coke.003,not given,0,1
1212,Jever,Jever.001,not given,0,5
1213,Fanta,Fanta.003,not given,0,4
1214,CokeZero,CokeZero,not given,0,2
1215,Coke,Coke.003,not given,0,1
1216,Fanta,Fanta.003,not given,0,5
1217,CokeZero,CokeZero,not given,0,1
1218,Coke,Coke.003,not given,0,1
1219,Fanta,Fanta.003,not given,0,5
1220,CokeZero,CokeZero,not given,0,1
1221,Coke,Coke.003,not given,0,0
1222,Fanta,Fanta.003,not given,0,5
1223,CokeZero,CokeZero,not given,0,1
1224,Coke,Coke.003,not given,0,0
1225,Fanta,Fanta.003,not given,0,5
1226,CokeZero,CokeZero,not given,0,1
1227,Coke,Coke.003,not given,0,0
1228,Fanta,Fanta.003,not given,0,6
1229,CokeZero,CokeZero,not given,0,1
1230,Coke,Coke.003,not given,0,1
1231,Fanta,Fanta.003,not given,0,5
1232,RedBullZero,RedBullZero.002,not given,1,1
1233,CokeZero,CokeZero,not given,0,1
1234,Coke,Coke.003,not given,0,2
1235,Fanta,Fanta.003,not given,0,4
1236,RedBullZero,RedBullZero.002,not given,1,1
1237,CokeZero,CokeZero,not given,0,1
1238,Coke,Coke.003,not given,0,4
1239,Fanta,Fanta.003,not given,0,3
1240,RedBullZero,RedBullZero.002,not given,1,1
1241,CokeZero,CokeZero,not given,0,1
1242,Coke,Coke.003,not given,0,4
1243,Fanta,Fanta.003,not given,0,4
1244,RedBullZero,RedBullZero.002,not given,1,1
1245,CokeZero,CokeZero,not given,0,1
1246,Coke,Coke.003,not given,0,6
1247,Fanta,Fanta.003,not given,0,4
1248,RedBullZero,RedBullZero.002,not given,1,1
1249,CokeZero,CokeZero,not given,0,1
1250,Coke,Coke.003,not given,0,5
1251,Fanta,Fanta.003,not given,0,3
1252,RedBullZero,RedBullZero.002,not given,1,0
